epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.41670629382133484,2.433008909225464,0.001,0.6392882466316223,1.382363200187683
1,0.6198300719261169,1.4718621969223022,0.001,0.7000455260276794,1.1337593793869019
2,0.6776206493377686,1.230130672454834,0.001,0.7674964070320129,0.8605783581733704
3,0.7102943658828735,1.093885064125061,0.001,0.7462670207023621,0.9421983361244202
4,0.7346684336662292,0.9946346879005432,0.001,0.7825669050216675,0.7972038388252258
5,0.7791181206703186,0.813593864440918,0.0002,0.852483332157135,0.5292313694953918
6,0.7920331358909607,0.7649535536766052,0.0002,0.8632069826126099,0.4885639548301697
7,0.7973615527153015,0.7386526465415955,0.0002,0.8721978068351746,0.45742931962013245
8,0.8049679398536682,0.7097302675247192,0.0002,0.8755643963813782,0.4427683353424072
9,0.809593141078949,0.6883153915405273,0.0002,0.883416473865509,0.41311436891555786
